,Unnamed: 0,station_id,name,type,forecast_region,latitude,longitude,elevation_meters,geometry,natural_subregion,forest_area
156,157,FTA,Flat Top Auto,PAW,SH,55.1457,-114.8153,1038,POINT (511767.4178357929 6108575.150806886),Lower Foothills,Slave Lake
157,158,FV,Fort Vermilion,RS,FV,58.3864,-116.0186,247,POINT (440466.5646000238 6469591.530648262),Dry Mixedwood,High Level
158,159,FX,Fort Vermilion,MET,FV,58.3822,-116.0403,289,POINT (439191.1134512631 6469143.532248338),Dry Mixedwood,High Level
159,160,FY,Forty Mile Pb,TAW,RM,51.8827,-115.7414,1585,POINT (448990.320173391 5745951.443042962),Upper Foothills,Rocky Mountain House
160,161,G1,Kakwa Auto,PAW,GP,54.175,-119.0592,1344,POINT (235214.295094406 6008200.779742052),Subalpine,Grande Prairie
161,162,G2,Mistanusk Auto,PAW,GP,54.5928,-120.0092,1112,POINT (176597.0508049752 6058594.195255087),,Grande Prairie
162,163,GA,Garden River Auto,MET,FV,58.8833,-113.8667,236,POINT (565302.7590297264 6524998.596835143),Central Mixedwood,High Level
163,164,GC,Grande Cache,RS,ED,53.8917,-119.1047,1250,POINT (230419.2939335681 5976889.884730158),Montane,Edson
164,165,GD,Grovedale,RS,GP,54.98,-118.9368,671,POINT (248211.9031460277 6097216.575546045),Dry Mixedwood,Grande Prairie
165,166,GE,Grande,LO,MM,56.3027,-112.2258,559,POINT (671571.5663227122 6240730.055101071),Central Mixedwood,Fort McMurray
166,167,GF,Grave  Flats,LO,ED,52.8879,-116.9918,2076,POINT (366044.5508333748 5859312.69154236),Subalpine,Edson
167,168,GFA,Grave Flats Auto,PAW,ED,52.8879,-116.9918,2076,POINT (366044.5508333748 5859312.69154236),Subalpine,Edson
168,169,GFT,Grave Flats Temp,TAW,ED,52.88,-116.99,2075,POINT (366141.2588448643 5858431.038835439),Subalpine,Edson
169,170,GH,GHOST,RS,BO,51.3161,-114.9353,1372,POINT (504507.2507946704 5682704.443406598),Montane,Calgary
170,171,GL,Gordon Lake,LO,MM,56.6176,-110.4946,515,POINT (776271.4161637335 6281386.94366144),Central Mixedwood,Fort McMurray
171,172,GLA,Gordon Lake Auto,PAW,MM,56.6175,-110.4944,515,POINT (776284.4013873752 6281376.637161892),Central Mixedwood,Fort McMurray
172,173,GM,Goose Mountain,LO,SH,54.7507,-116.0344,1384.67,POINT (433449.1657296731 6065112.966429941),Upper Foothills,Whitecourt
173,174,GMA,Goose Mountain Auto,PAW,SH,54.7506,-116.0332,1385,POINT (433526.2042734048 6065100.706347117),Upper Foothills,Whitecourt
174,175,GR,Goodridge,RZ,LB,54.4876,-111.369,560,POINT (735075.0221161967 6041424.978332984),Central Mixedwood,Lac La Biche
175,176,GT,Gift Lake,LO,RE,55.9012,-115.7573,691.21,POINT (452667.8916577912 6192863.50816143),Central Mixedwood,Slave Lake
176,177,GTA,Gift Lake Auto,PAW,RE,55.9012,-115.76,691,POINT (452499.1422608744 6192865.358514613),Central Mixedwood,Slave Lake
177,178,GV,Gregg River,RZ,ED,53.0212,-117.3705,1800,POINT (341068.9301021062 5874905.143148819),Subalpine,Edson
178,179,HB,Hailstone Butte,LO,BO,50.2088,-114.4576,2370,POINT (538688.0150788276 5559761.542913645),Alpine,Calgary
179,180,HC,Hines Creek,RS,MA,56.2031,-118.6407,671,POINT (274278.0063530337 6232154.795369644),Dry Mixedwood,Peace River
180,181,HCF,Horse Creek Fire,TAW,MM,56.379,-111.4498,369,POINT (719104.5097835887 6251417.803075301),Central Mixedwood,Fort McMurray
181,182,HDA,Hendrickson Creek Cs,PAW,ED,53.8,-118.45,1448,POINT (272903.8745866369 5964404.639621519),Subalpine,Edson
182,183,HH,Hawk Hills,LO,MA,57.6568,-117.4233,730,POINT (355469.0515156573 6390527.319977945),Lower Boreal Highlands,Peace River
183,184,HHA,Hawk Hills Auto,PAW,MA,57.6568,-117.4232,730,POINT (355475.0142153815 6390527.106790269),Lower Boreal Highlands,Peace River
184,185,HI,High Level Airport,MET,OJ,58.6217,-117.1647,338,POINT (374335.5582382819 6497356.189641935),Dry Mixedwood,High Level
185,186,HK,Hotchkiss,LO,MA,57.3339,-118.9593,990.01,POINT (261813.6622202421 6358944.632291352),Upper Boreal Highlands,Peace River
186,187,HKA,Hotchkiss Auto,PAW,MA,57.3339,-118.9593,990,POINT (261813.6622202421 6358944.632291352),Upper Boreal Highlands,Peace River
187,188,HL,Heart Lake,LO,LB,54.915,-111.3397,866.05,POINT (734490.745334067 6089030.320365849),Central Mixedwood,Lac La Biche
188,189,HLA,Heart Lake Auto,PAW,LB,54.915,-111.34,866,POINT (734471.5352397341 6089029.314798751),Central Mixedwood,Lac La Biche
189,190,HM,House Mountain,LO,SH,55.0473,-115.6028,1176.34,POINT (461500.7997447484 6097779.934563912),Upper Foothills,Slave Lake
190,191,HMA,House Mountain Auto,PAW,SH,55.0473,-115.6016,1176,POINT (461577.4395217716 6097779.27432104),Upper Foothills,Slave Lake
191,192,HN,Hinton School,RS,ED,53.4006,-117.5783,1008.46,POINT (328660.4135113556 5917563.6848655),Montane,Edson
192,193,HO,Horse Creek Pb,TAW,SH,54.0243,-117.8439,1136,POINT (313790.4496070608 5987571.008696185),Upper Foothills,Whitecourt
193,194,HP,High Prairie Agrd,MET,SH,55.3958,-116.4795,602,POINT (406333.6557262451 6137376.058427544),Dry Mixedwood,Slave Lake
194,195,HPA,High Prairie Agdm,PAW,SH,55.3958,-116.4795,602,POINT (406333.6557262451 6137376.058427544),Dry Mixedwood,Slave Lake
195,196,HR,Hummingbird,TAW,RM,52.078,-116.002,1700,POINT (431360.1036191728 5767878.326525539),Subalpine,Rocky Mountain House
